Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Product_Cats,Chrome 129.0.0.0,,,29-09-2024 10:44:04,29-09-2024 10:44:18,14.102s,PASSED
,,,,,,,
Test Cases/TC_Product_cats,Chrome 129.0.0.0,,Regression,29-09-2024 10:44:04,29-09-2024 10:44:18,13.489s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,29-09-2024 10:44:05,29-09-2024 10:44:10,5.086s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 129.0.0.0,,,29-09-2024 10:44:10,29-09-2024 10:44:11,1.176s,PASSED
"click(findTestObject(""Object Repository/TC_Product_Cats/Page_JPetStore Demo/a_Enter the Store""))",Chrome 129.0.0.0,,,29-09-2024 10:44:11,29-09-2024 10:44:14,2.916s,PASSED
"click(findTestObject(""Object Repository/TC_Product_Cats/Page_JPetStore Demo/img""))",Chrome 129.0.0.0,,,29-09-2024 10:44:14,29-09-2024 10:44:15,0.989s,PASSED
"click(findTestObject(""Object Repository/TC_Product_Cats/Page_JPetStore Demo/a_FL-DLH-02""))",Chrome 129.0.0.0,,,29-09-2024 10:44:15,29-09-2024 10:44:16,0.806s,PASSED
"click(findTestObject(""Object Repository/TC_Product_Cats/Page_JPetStore Demo/a_Return to CATS""))",Chrome 129.0.0.0,,,29-09-2024 10:44:16,29-09-2024 10:44:17,0.830s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,29-09-2024 10:44:17,29-09-2024 10:44:18,0.929s,PASSED
